feature,importance
f645,0.1931496370322681
f838,0.1931053214589036
f641,0.1931021693030511
f509,0.19307410599728284
f515,0.19306198876790315
f647,0.19305764743846657
f497,0.1930552124998583
f524,0.19302552423106994
f521,0.19302478558677627
f541,0.19301977813658092
f484,0.19297893625799833
f499,0.192939699195197
f626,0.19292217635234118
f394,0.192903456201643
f587,0.19288878853301195
f382,0.19285330384684324
f513,0.1928157828378928
f679,0.19277818960851584
f530,0.19277669214633247
f494,0.1927735067795579
f492,0.1927447898286309
f664,0.19274437765146274
f663,0.1927414106532659
f600,0.19270044812265844
f537,0.19266315563922315
f771,0.1926623724942203
f740,0.19262837600234067
f542,0.19261949784899693
f516,0.19260665515734726
f867,0.19258651066017776
f601,0.19255841004775556
f634,0.1925411378637766
f657,0.19252879511381632
f876,0.19245904278210674
f518,0.1924549948593232
f815,0.19243327862982396
f683,0.19243033569098372
f819,0.19242701141396665
f833,0.19241108161290127
f829,0.19237032761162784
f736,0.19234345419567134
f534,0.192310176587074
f639,0.1923094428528542
f823,0.19225079573860454
f478,0.19224588352162283
f872,0.19223986307751983
f532,0.19222370165615113
f713,0.1922219675006124
f711,0.19220253240045823
f866,0.19218741292341254
f870,0.19216304857835712
f757,0.1921625427727208
f605,0.19215711777609454
f827,0.1921571102903733
f632,0.19212607612229746
f753,0.19212028440724946
f510,0.19210116133455504
f759,0.19202651070943347
f723,0.19201801809163502
f714,0.19201795336122784
f659,0.19200720590547932
f756,0.19195616144805475
f855,0.19192733164938616
f732,0.19185654376237768
f737,0.19185226578152537
f506,0.19184315534261043
f650,0.19181343797550043
f646,0.19179871539267693
f661,0.19178958283646008
f698,0.191782433835255
f749,0.19178188958355558
f623,0.1917483593557386
f754,0.19174543738627303
f853,0.19174160238342206
f514,0.1917252570425497
f801,0.19167737627046794
f694,0.19164964073986923
f791,0.19164673748311992
f418,0.19163109937924866
f697,0.19162379122538456
f747,0.1915947835496483
f763,0.19157975386187875
f636,0.19155052491639984
f699,0.19152254283741835
f720,0.19151963524664745
f857,0.19151128315223076
f787,0.19149351607733256
f688,0.19144243925946938
f629,0.19141463304978765
f726,0.19141070163628418
f671,0.191397324506637
f799,0.19139099288707007
f795,0.1913812169887218
f504,0.1913247005079053
f821,0.19131975363097883
f751,0.1913095728333559
f640,0.19129217497430737
f837,0.19128706435917728
f869,0.1912646422534761
f622,0.1912602918174375
f644,0.19118399062950917
f741,0.19115541876785588
f662,0.19110806066244587
f835,0.19107886955723155
f618,0.19106725793758464
f648,0.19100207136432132
f859,0.19098005477091182
f2,0.19097654162333416
f745,0.19094762550026567
f843,0.19093751610693713
f844,0.19093034788370408
f755,0.1909241370456167
f728,0.1909240381124601
f764,0.19091209491856526
f696,0.1909073996860631
f508,0.1908990559098083
f522,0.1908819396965712
f830,0.19086849805272
f543,0.19080002258870432
f548,0.190779100466829
f731,0.19069944853651943
f528,0.19069794545295873
f501,0.1906788866239723
f491,0.19065727845362038
f868,0.19063049618740793
f680,0.19057052105620573
f776,0.1905658405256028
f854,0.19055017402096155
f840,0.19054068453786874
f814,0.19053332709494034
f619,0.19052410319731602
f678,0.19050734027236538
f852,0.19048239223325344
f704,0.19043305698463744
f520,0.1903316924443353
f630,0.19030918287361615
f861,0.19029863978700443
f765,0.1902215272279362
f810,0.19021444027338183
f846,0.19010311762943
f845,0.19009256407284608
f660,0.19008407984518322
f880,0.1900150660510511
f677,0.19000135177435556
f850,0.1899055021868958
f781,0.18990150785239435
f490,0.1898688548050155
f673,0.18981102837163763
f881,0.1897690960214204
f813,0.18975057258377043
f812,0.18973272609913439
f654,0.18973074131345868
f719,0.18972124608546678
f628,0.18964595735782439
f767,0.1896089777015269
f652,0.18957652190265017
f839,0.18954930864610814
f848,0.18953605413050437
f794,0.18950118776975672
f760,0.18948230992175893
f818,0.18941883472536405
f873,0.18940412948479718
f672,0.18933806279149407
f511,0.18931030449079458
f887,0.189212996885797
f836,0.1891400521226804
f692,0.18913549342727223
f865,0.18913491904550514
f777,0.1891344069547855
f871,0.18912944407658658
f806,0.18910762335660597
f849,0.18909413781440185
f773,0.1890890150838227
f498,0.18907516599283392
f670,0.18899406518836367
f746,0.18887394311388145
f808,0.18884162632206258
f834,0.18883703066240823
f500,0.18868423974514645
f874,0.18866675027664315
f766,0.18858444446687356
f807,0.18854993500521783
f769,0.18854077750118592
f826,0.18853707213434023
f779,0.18850965118355578
f793,0.188489106000136
f785,0.18846820112907559
f802,0.18840758534309598
f526,0.18840569727166057
f900,0.18836339211233977
f774,0.18833763669430428
f768,0.18823878872615252
f889,0.18813967808177956
f893,0.18805680723899573
f891,0.1880412934943757
f885,0.1880197712315987
f882,0.18799916034353517
f862,0.1879808530735579
f668,0.1879209941053761
f792,0.1879110824043426
f729,0.18790545958982732
f758,0.18783918835620778
f811,0.18780884639241796
f820,0.1877486976977422
f902,0.18771501442216948
f770,0.18762102131745798
f904,0.18753448033108172
f775,0.18751136145784383
f797,0.1874840547084106
f824,0.18725458265260478
f786,0.1870052245999498
f674,0.18698048480590468
f798,0.18696817666143484
f804,0.18694265367962365
f907,0.18693253813736296
f512,0.18687767473141384
f860,0.18685473042967043
f886,0.18673538172364887
f780,0.18668846859930127
f879,0.18664648970387845
f890,0.18662086796558736
